[COMET X-RAY MEASUREMENT],,,,,,,,,,,,,,,,
Filename,,C:\CRData\8Feb2021-11-58.csv,,,,,,,,,,,,,,
Date,,8/02/2021,,,,,,,,,,,,,,
Chamber,,NE 2571  3460,,,,,,,,,,,,,,
Description,,Standard ratio measurement,,,,,,,,,,,,,,
Software,,S:\Medical_Rad\Radiotherapy\Ionizing Radiation\IRS Inhouse Software\Twin Weblines LEX and MEX\Twin Webline Comet v8_0-PRODUCTION.vi,,,,,,,,,,,,,,
Backgrounds,,90,,,,,,,,,,,,,,
Measurements,,30,,,,,,,,,,,,,,
Trolley (mm),,1090,,,,,,,,,,,,,,
SCD (mm),,1000,,,,,,,,,,,,,,
Aperture wheel,,2 CM,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,
Monitor electrometer range,,Medium,,,,,,,,,,,,,,
Monitor HV,,300,,,,,,,,,,,,,,
MEFAC-IC electrometer range,,Low,,,,,,,,,,,,,,
IC HV,,-250,,,,,,,,,,,,,,
Client name,,ClientB_Name,,,,,,,Client identifier string,,,*this line may not be present in all files,,,,
Address 1,,123 Street Name,,,,,,,Address line 1,,,*this line may not be present in all files,,,,
Address 2,,Suburb QLD 6020,,,,,,,Address line 2,,,*this line may not be present in all files,,,,
Operator,,Callum Watson,,,,,,,Who did the measurements,,,*this line may not be present in all files,,,,
CAL Number,,CAL00002,,,,,,,ARPANSA Job ID,,,*this line may not be present in all files,,,,
[DATA],,,,,,,,,,,,,,,,
kV,mA,BarCode,XraysOn,HVLFilter(mm),Filter,FilterReady,HVLReady,N,Current1(pA),Current2(pA),P(kPa),T(MC),T(Air),T(SC),H(%),Comment
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,1,0.5,-0.003,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,2,0.15,-0.004,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,3,0.35,-0.003,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,4,0.2,-0.004,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,5,0.6,-0.003,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,6,0.45,-0.003,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,7,0.35,-0.003,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,8,0.4,-0.003,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,9,0.7,-0.003,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,10,0.6,-0.002,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,11,0.45,-0.002,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,12,-0.15,-0.003,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,13,-0.25,-0.002,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,14,-0.35,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,15,-0.45,-0.001,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,16,0,-0.001,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,17,-0.8,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,18,-0.2,-0.001,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,19,-0.25,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,20,-0.25,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,21,-0.05,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,22,-0.5,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,23,-0.55,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,24,-0.4,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,25,-0.5,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,26,-0.4,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,27,-0.3,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,28,-0.2,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,29,-0.1,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,30,0.35,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,31,0.5,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,32,0.2,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,33,0.05,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,34,0.1,0,101.351,22.088756,21.480012,23.45873,47.389209,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,35,1.55,0,101.351,22.088756,21.480012,23.45873,47.389209,
