[COMET X-RAY MEASUREMENT],,,,,,,,,,,,,,,,
Filename,,C:\CRData\17Feb2021-12-01.csv,,,,,,,,,,,,,,
Date,,17/02/2021,,,,,,,,,,,,,,
Chamber,,MEFAC ,,,,,,,,,,,,,,
Description,,Standard ratio measurement,,,,,,,,,,,,,,
Software,,S:\Medical_Rad\Radiotherapy\Ionizing Radiation\IRS Inhouse Software\Twin Weblines LEX and MEX\Twin Webline Comet v8_0-PRODUCTION.vi,,,,,,,,,,,,,,
Backgrounds,,90,,,,,,,,,,,,,,
Measurements,,30,,,,,,,,,,,,,,
Trolley (mm),,1090,,,,,,,,,,,,,,
SCD (mm),,1000,,,,,,,,,,,,,,
Aperture wheel,,2 CM,,,,,,,,,,,,,,
Comment,,Set 3,,,,,,,,,,,,,,
Monitor electrometer range,,Medium,,,,,,,,,,,,,,
Monitor HV,,300,,,,,,,,,,,,,,
MEFAC-IC electrometer range,,Medium,,,,,,,,,,,,,,
IC HV,,0,,,,,,,,,,,,,,
Client name,,ClientC_Name,,,,,,,Client identifier string,,,*this line may not be present in all files,,,,
Address 1,,555 Street Name,,,,,,,Address line 1,,,*this line may not be present in all files,,,,
Address 2,,Suburb ACT 1020,,,,,,,Address line 2,,,*this line may not be present in all files,,,,
Operator,,Chris Oliver,,,,,,,Who did the measurements,,,*this line may not be present in all files,,,,
CAL Number,,CAL00003,,,,,,,ARPANSA Job ID,,,*this line may not be present in all files,,,,
[DATA],,,,,,,,,,,,,,,,
kV,mA,BarCode,XraysOn,HVLFilter(mm),Filter,FilterReady,HVLReady,N,Current1(pA),Current2(pA),P(kPa),T(MC),T(Air),T(SC),H(%),Comment
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,1,0,-0.05,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,2,0.25,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,3,0.05,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,4,0.2,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,5,0.15,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,6,0.3,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,7,0.2,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,8,0.2,-0.05,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,9,0.15,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,10,0.1,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,11,0.3,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,12,0.25,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,13,0.2,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,14,0.2,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,15,0.15,0,101.721,22.145773,22.145338,22.668872,66.530991,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,16,0.25,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,17,0.25,-0.05,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,18,0.2,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,19,0,-0.05,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,20,0.2,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,21,0.15,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,22,0.15,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,23,0.15,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,24,0.25,-0.05,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,25,0.2,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,26,0.2,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,27,0.3,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,28,0.15,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,29,0,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,30,0.25,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,31,0.2,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,32,0.25,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,33,0,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,34,0.2,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,35,0.25,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,36,0.35,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,37,0.2,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,38,0.15,-0.1,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,39,0.2,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,40,0.15,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,41,0.25,0,101.718,22.1478,22.146536,22.67112,66.514641,Set 3
